"y","t"
-1.95433458365294,1.00684809451923
-1.85150849904261,1.00835947110318
-1.74713832342674,1.02482970966958
-1.75743084018167,1.02533950121142
-1.97796113433098,1.03475793567486
-1.99699848799831,1.04157385835424
-1.80403446831644,1.05305666755885
-1.9044547741841,1.05951937683858
-1.98615846634831,1.06096213497221
-1.94822941424971,1.06338669057004
-1.60418934169466,1.06393242161721
-1.51298747920311,1.07011222280562
-1.80738385333771,1.08652429515496
-1.75366706878365,1.08771225600503
-1.78362426691899,1.09071425767615
-1.78431926208365,1.09143883129582
-1.67775825492372,1.09739019419067
-1.76001975389191,1.10051443753764
-1.94328196601549,1.10632904968224
-1.5094592519556,1.11784372269176
-1.70210069028875,1.12105712434277
-1.59160845163151,1.12193168373778
-1.56481995127657,1.12446445389651
-1.57474373116006,1.14300842140801
-1.57808508592257,1.18522204319015
-1.10747556986007,1.19565858342685
-1.46484423974423,1.19636609987356
-1.29198247765174,1.20063194376417
-1.06380880694741,1.24973021983169
-0.992375468569259,1.26923325937241
-0.8597299380231,1.27283970103599
-1.176073397636,1.28358341287822
-0.984326515753548,1.28402499249205
-1.06889076618211,1.2852374536451
-1.19757075623617,1.28882933594286
-1.19344260869489,1.30445289122872
-0.861027779217891,1.30508183152415
-0.813448197117497,1.30743135861121
-0.995641460753597,1.32238453137688
-0.90998188777384,1.32927967770956
-0.869176378864673,1.34303385694511
-1.25430523229544,1.34885475970805
-0.953254666924156,1.35015243547969
-1.02665700580414,1.35390937840566
-0.856210363131127,1.3816409218125
-0.71741161048807,1.39591853413731
-0.749265077604773,1.40305902715772
-0.674272000487985,1.40664460416883
-0.681190490826201,1.43554324167781
-1.00448515445535,1.44426690018736
-0.948437802886286,1.46159806498326
-0.522514182700611,1.47640467598103
-0.354388868412282,1.48984364955686
-0.382652963342524,1.49560088547878
-0.203699913874122,1.51693169330247
-0.230089803444747,1.52149231615476
-0.233832229178522,1.52515795710497
-0.0992054402763847,1.5301368997898
-0.253888383320005,1.54172167694196
