"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop
China,"80,784",+30,"3,158",+22,"61,503","16,123","4,492",56.1
Italy,"10,149",,631,,"1,004","8,514",877,167.9
Iran,"8,042",,291,,"2,731","5,020",,95.7
S. Korea,"7,755",+242,61,+1,288,"7,406",54,151.3
France,"1,784",,33,,12,"1,739",86,27.3
Spain,"1,695",,36,,135,"1,524",101,36.3
Germany,"1,565",,2,,18,"1,545",9,18.7
USA,"1,010",+16,31,+1,15,964,10,3.1
Diamond Princess,696,,7,,325,364,32,
Japan,587,,12,,102,473,31,4.6
Switzerland,502,+5,3,,3,496,,58.0
Norway,401,+1,,,1,400,,74.0
UK,383,,6,,18,359,,5.6
Netherlands,382,,4,,,378,1,22.3
Sweden,355,,,,1,354,2,35.2
Belgium,267,,,,1,266,2,23.0
Denmark,262,,,,1,261,,45.2
Austria,206,+24,,,4,202,1,22.9
Singapore,166,,,,93,73,10,28.4
Malaysia,129,,,,25,104,2,4.0
Australia,127,+11,3,,24,100,1,5.0
Hong Kong,121,,3,,60,58,6,16.1
Bahrain,112,+2,,,30,82,1,65.8
Canada,97,+3,1,,9,87,1,2.6
Greece,89,,,,,89,1,8.5
Iceland,81,,,,1,80,,
Israel,76,+1,,,4,72,1,8.8
UAE,74,,,,12,62,2,7.5
Iraq,71,,7,,15,49,,1.8
Kuwait,69,,,,1,68,3,16.2
Czechia,64,+1,,,,64,,6.0
San Marino,62,,2,,,60,5,
India,62,,,,4,58,,
Egypt,59,,1,,26,32,,0.6
Thailand,59,+6,1,,34,24,1,0.8
Lebanon,52,,1,,1,50,3,7.6
Taiwan,48,+1,1,,17,30,,2.0
Portugal,41,,,,,41,1,4.0
Finland,40,,,,1,39,,7.2
Vietnam,35,+1,,,16,19,,0.4
Brazil,34,,,,,34,1,0.2
Ireland,34,,,,,34,,6.9
Slovenia,34,,,,,34,,16.4
Philippines,33,,1,,2,30,1,0.3
Romania,29,,,,5,24,,1.5
Palestine,29,,,,,29,,5.7
Indonesia,27,,1,+1,2,24,,0.1
Poland,25,+3,,,,25,2,0.7
Qatar,24,,,,,24,,8.3
Georgia,23,,,,,23,1,5.8
Algeria,20,,,,,20,,0.5
Russia,20,,,,3,17,,0.1
Saudi Arabia,20,,,,1,19,,0.6
Argentina,19,,1,,,18,1,0.4
Pakistan,19,,,,2,17,,0.1
Oman,18,,,,9,9,,3.5
Ecuador,17,,,,,17,1,1.0
Chile,17,,,,,17,,0.9
Croatia,15,,,,,15,,3.7
Estonia,13,,,,,13,,9.8
Costa Rica,13,,,,,13,1,2.6
Hungary,13,+1,,,,13,,1.3
Azerbaijan,11,,,,,11,,1.1
Peru,11,,,,,11,,0.3
Macao,10,,,,10,0,,
Albania,10,,,,,10,,3.5
Belarus,9,,,,3,6,,1.0
Panama,8,+7,1,+1,,7,,1.9
Latvia,8,,,,1,7,,4.2
Maldives,8,+2,,,,8,,
Afghanistan,7,+2,,,,7,,0.2
Luxembourg,7,,,,,7,,
North Macedonia,7,,,,,7,,3.4
Mexico,7,,,,4,3,1,0.1
Bosnia and Herzegovina,7,,,,,7,,2.1
Slovakia,7,,,,,7,,1.3
South Africa,7,,,,,7,,0.1
Tunisia,6,,,,,6,,0.5
Brunei,6,,,,,6,,
Bulgaria,6,,,,,6,,0.9
Dominican Republic,5,,,,,5,,0.5
New Zealand,5,,,,,5,,1.0
French Guiana,5,,,,,5,,
Malta,5,,,,,5,,
Paraguay,5,+3,,,,5,1,0.7
Serbia,5,,,,,5,,0.6
Senegal,4,,,,1,3,,0.2
Morocco,3,,1,,,2,1,0.1
Cambodia,3,,,,1,2,,0.2
Lithuania,3,,,,,3,,1.1
Bangladesh,3,,,,,3,,
Colombia,3,,,,,3,,0.1
Martinique,3,,,,,3,,
Moldova,3,,,,,3,,0.7
Nigeria,2,,,,,2,,
Sri Lanka,2,+1,,,1,1,,0.1
Bolivia,2,,,,,2,,0.2
Burkina Faso,2,,,,,2,,0.1
Cameroon,2,,,,,2,,0.1
Channel Islands,2,,,,,2,,
Cyprus,2,,,,,2,,1.7
Faeroe Islands,2,,,,,2,,
Saint Martin,2,,,,,2,,
Andorra,1,,,,,1,,
Armenia,1,,,,,1,,0.3
Jordan,1,,,,,1,,0.1
Monaco,1,,,,,1,,
Nepal,1,,,,1,0,,
Ukraine,1,,,,,1,,
Bhutan,1,,,,,1,,
DRC,1,,,,,1,,
Gibraltar,1,,,,1,0,,
Vatican City,1,,,,,1,,
Jamaica,1,,,,,1,,0.3
Liechtenstein,1,,,,,1,,
Mongolia,1,,,,,1,,0.3
St. Barth,1,,,,,1,,
Togo,1,,,,,1,,0.1
Turkey,1,,,,,1,,
Total:,"119,286",363,"4,300",26,"66,582","48,404","5,747",15.3
