"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop
China,"80,754",+19,"3,136",+17,"59,905","17,713","4,794",56.1
Italy,"9,172",,463,,724,"7,985",733,151.7
S. Korea,"7,513",+35,54,+1,247,"7,212",36,146.5
Iran,"7,161",,237,,"2,394","4,530",,85.3
France,"1,412",,30,,12,"1,370",66,21.6
Spain,"1,231",,30,,32,"1,169",11,26.3
Germany,"1,224",,2,,18,"1,204",9,14.6
USA,708,+4,27,+1,15,666,8,2.1
Diamond Princess,696,,7,,245,444,32,
Japan,530,,9,,101,420,33,4.2
Switzerland,374,,2,,3,369,,43.2
UK,321,,5,,18,298,,4.7
Netherlands,321,,4,,,317,1,18.7
Sweden,261,,,,1,260,,25.8
Belgium,239,,,,1,238,2,20.6
Norway,227,,,,1,226,,41.9
Singapore,160,,,,93,67,10,27.3
Austria,131,,,,2,129,1,14.5
Malaysia,117,,,,24,93,2,3.6
Hong Kong,116,,3,,59,54,6,15.5
Bahrain,109,,,,22,87,,64.1
Australia,93,,3,,22,68,1,3.6
Denmark,90,,,,1,89,,15.5
Greece,84,,,,,84,1,8.1
Canada,77,,1,,8,68,1,2.0
Iraq,71,,7,,3,61,,1.8
Iceland,65,,,,1,64,,
Kuwait,65,,,,1,64,3,15.2
Egypt,59,,1,,1,57,,0.6
UAE,59,,,,12,47,2,6.0
San Marino,51,,2,,,49,5,
Thailand,50,,1,,33,16,1,0.7
Israel,50,,,,4,46,1,5.8
India,47,,,,4,43,,
Taiwan,45,,1,,15,29,,1.9
Lebanon,41,,,,1,40,3,6.0
Portugal,39,,,,,39,,3.8
Czechia,38,,,,,38,,3.5
Finland,33,,,,1,32,,6.0
Vietnam,31,,,,16,15,,0.3
Brazil,25,,,,,25,1,0.1
Slovenia,25,,,,,25,,12.0
Palestine,25,,,,,25,,4.9
Philippines,24,,1,,2,21,1,0.2
Ireland,24,,,,,24,,4.9
Algeria,20,,,,,20,,0.5
Russia,20,,,,3,17,,0.1
Saudi Arabia,20,,,,1,19,,0.6
Indonesia,19,,,,,19,,0.1
Oman,18,,,,9,9,,3.5
Qatar,18,,,,,18,,6.2
Argentina,17,,1,,,16,,0.4
Romania,17,,,,5,12,,0.9
Poland,17,,,,,17,2,0.4
Pakistan,16,,,,1,15,,0.1
Ecuador,15,,,,,15,1,0.9
Georgia,15,,,,,15,1,3.8
Croatia,13,,,,,13,,3.2
Chile,13,,,,,13,,0.7
Macao,10,,,,10,0,,
Estonia,10,,,,,10,,7.5
Azerbaijan,9,,,,,9,,0.9
Costa Rica,9,,,,,9,1,1.8
Hungary,9,,,,,9,,0.9
Peru,9,,,,,9,,0.3
Mexico,7,,,,4,3,1,0.1
Slovakia,7,,,,,7,,1.3
South Africa,7,,,,,7,,0.1
Belarus,6,,,,,6,,0.6
Latvia,6,,,,1,5,,3.2
Albania,6,,,,,6,,2.1
Maldives,6,,,,,6,,
Dominican Republic,5,,,,,5,,0.5
Luxembourg,5,,,,,5,,
New Zealand,5,,,,,5,,1.0
Tunisia,5,,,,,5,,0.4
Bosnia and Herzegovina,5,,,,,5,,1.5
French Guiana,5,,,,,5,,
Afghanistan,4,,,,,4,,0.1
North Macedonia,4,,,,,4,,1.9
Senegal,4,,,,1,3,,0.2
Bulgaria,4,,,,,4,,0.6
Malta,4,,,,,4,,
Bangladesh,3,,,,,3,,
Colombia,3,,,,,3,,0.1
Cambodia,2,,,,1,1,,0.1
Morocco,2,,,,,2,1,0.1
Nigeria,2,,,,,2,,
Cameroon,2,,,,,2,,0.1
Cyprus,2,,,,,2,,1.7
Faeroe Islands,2,,,,,2,,
Martinique,2,,,,,2,,
Saint Martin,2,,,,,2,,
Serbia,2,,,,,2,,0.2
Andorra,1,,,,,1,,
Armenia,1,,,,,1,,0.3
Jordan,1,,,,,1,,0.1
Lithuania,1,,,,,1,,0.4
Monaco,1,,,,,1,,
Nepal,1,,,,1,0,,
Sri Lanka,1,,,,1,0,,
Ukraine,1,,,,,1,,
Bhutan,1,,,,,1,,
Brunei,1,,,,,1,,
Burkina Faso,1,,,,,1,,
Channel Islands,1,,,,,1,,
Gibraltar,1,,,,1,0,,
Vatican City,1,,,,,1,,
Liechtenstein,1,,,,,1,,
Moldova,1,,,,,1,,0.2
Mongolia,1,+1,,,,1,,0.3
Panama,1,+1,,,,1,,0.2
Paraguay,1,,,,,1,,0.1
St. Barth,1,,,,,1,,
Togo,1,,,,,1,,0.1
Total:,"114,422",60,"4,027",19,"64,081","46,314","5,771",14.7
